Page,Sequence,DefaultImage,RorV,Label
urn:cite:bsb:cg427.43v,93,urn:cite:bsb:muncg427img.MunCG427_img93,verso,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 43,verso"
urn:cite:bsb:cg427.44r,94,urn:cite:bsb:muncg427img.MunCG427_img94,recto,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 44,recto"
urn:cite:bsb:cg427.44v,95,urn:cite:bsb:muncg427img.MunCG427_img95,verso,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 44,verso"
urn:cite:bsb:cg427.45r,96,urn:cite:bsb:muncg427img.MunCG427_img96,recto,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 45,recto"
urn:cite:bsb:cg427.45v,97,urn:cite:bsb:muncg427img.MunCG427_img97,verso,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 45,verso"
urn:cite:bsb:cg427.46r,98,urn:cite:bsb:muncg427img.MunCG427_img98,recto,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 46,recto"
urn:cite:bsb:cg427.46v,99,urn:cite:bsb:muncg427img.MunCG427_img99,verso,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 46,verso"
urn:cite:bsb:cg427.47r,100,urn:cite:bsb:muncg427img.MunCG427_img100,recto,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 47,recto"
urn:cite:bsb:cg427.47v,101,urn:cite:bsb:muncg427img.MunCG427_img101,verso,"Bayerische Staatsbibliothek,Codex Graecus 427, folio 47,verso"
urn:cite:bsb:cg427.48r,102,urn:cite:bsb:muncg427img.MunCG427_img102,recto,"Bayerische Staatsbibliothek, Codex Graecus 427,folio 48,recto"
urn:cite:bsb:cg427.48v,103,urn:cite:bsb:muncg427img.MunCG427_img103,verso,"Bayerische Staatsbibliothek, Codex Graecus 427,folio 48,verso"
urn:cite:bsb:cg427.49r,104,urn:cite:bsb:muncg427img.MunCG427_img104,recto,"Bayerische Staatsbibliothek, Codex Graecus 427,folio 49,recto"
urn:cite:bsb:cg427.49v,105,urn:cite:bsb:muncg427img.MunCG427_img105,verso,"Bayerische Staatsbibliothek, Codex Graecus 427,folio 49,verso"
,,urn:cite:bsb:muncg427img.MunCG427_img106,,
,,urn:cite:bsb:muncg427img.MunCG427_img107,,
,,urn:cite:bsb:muncg427img.MunCG427_img108,,
,,urn:cite:bsb:muncg427img.MunCG427_img109,,
,,urn:cite:bsb:muncg427img.MunCG427_img110,,
,,urn:cite:bsb:muncg427img.MunCG427_img111,,
,,urn:cite:bsb:muncg427img.MunCG427_img112,,
,,urn:cite:bsb:muncg427img.MunCG427_img113,,
,,urn:cite:bsb:muncg427img.MunCG427_img114,,
,,urn:cite:bsb:muncg427img.MunCG427_img115,,
,,urn:cite:bsb:muncg427img.MunCG427_img116,,
,,urn:cite:bsb:muncg427img.MunCG427_img117,,
,,urn:cite:bsb:muncg427img.MunCG427_img118,,
,,urn:cite:bsb:muncg427img.MunCG427_img119,,
,,urn:cite:bsb:muncg427img.MunCG427_img120,,
,,urn:cite:bsb:muncg427img.MunCG427_img121,,
,,urn:cite:bsb:muncg427img.MunCG427_img122,,
,,urn:cite:bsb:muncg427img.MunCG427_img123,,
,,urn:cite:bsb:muncg427img.MunCG427_img124,,
,,urn:cite:bsb:muncg427img.MunCG427_img125,,
,,urn:cite:bsb:muncg427img.MunCG427_img126,,
,,urn:cite:bsb:muncg427img.MunCG427_img127,,
,,urn:cite:bsb:muncg427img.MunCG427_img128,,
,,urn:cite:bsb:muncg427img.MunCG427_img129,,
,,urn:cite:bsb:muncg427img.MunCG427_img130,,
,,urn:cite:bsb:muncg427img.MunCG427_img131,,
,,urn:cite:bsb:muncg427img.MunCG427_img132,,
,,urn:cite:bsb:muncg427img.MunCG427_img133,,
,,urn:cite:bsb:muncg427img.MunCG427_img134,,
,,urn:cite:bsb:muncg427img.MunCG427_img135,,
,,urn:cite:bsb:muncg427img.MunCG427_img136,,
,,urn:cite:bsb:muncg427img.MunCG427_img137,,
,,urn:cite:bsb:muncg427img.MunCG427_img138,,
,,urn:cite:bsb:muncg427img.MunCG427_img139,,
,,urn:cite:bsb:muncg427img.MunCG427_img140,,
,,urn:cite:bsb:muncg427img.MunCG427_img141,,
,,urn:cite:bsb:muncg427img.MunCG427_img142,,
,,urn:cite:bsb:muncg427img.MunCG427_img143,,
,,urn:cite:bsb:muncg427img.MunCG427_img144,,
